job_title,experience_level,salary_in_usd,company_location
Data Architect,SE,161800,US
Data Architect,SE,86600,US
Data Analyst,SE,202000,US
Data Analyst,SE,68154,US
Data Analyst,EN,80000,US
Data Analyst,EN,70000,US
Data Analyst,MI,218030,US
Data Analyst,MI,114080,US
Data Scientist,SE,220000,US
Data Scientist,SE,110000,US
Data Engineer,SE,178000,US
Data Engineer,SE,95300,US
Data Engineer,MI,115800,US
Data Engineer,MI,77200,US
Machine Learning Engineer,SE,253200,US
Machine Learning Engineer,SE,174500,US
Machine Learning Engineer,SE,182750,US
Machine Learning Engineer,SE,129400,US
Data Analyst,SE,123700,US
Data Analyst,SE,68700,US
Data Engineer,SE,240500,US
Data Engineer,SE,139100,US
Data Engineer,EN,185000,US
Data Engineer,EN,91200,US
Data Scientist,MI,217300,US
Data Scientist,MI,127800,US
Data Analyst,EN,242000,US
Data Analyst,EN,145200,US
Data Analyst,SE,158003,US
Data Analyst,SE,131664,US
Data Analyst,MI,88000,US
Data Analyst,MI,76600,US
Data Analyst,EN,138000,US
Data Analyst,EN,120000,US
Data Manager,MI,157000,US
Data Manager,MI,135000,US
Data Architect,SE,185000,US
Data Architect,SE,112000,US
Data Architect,SE,140000,US
Data Architect,SE,100000,US
Machine Learning Scientist,MI,205700,US
Machine Learning Scientist,MI,131000,US
Head of Data,EX,250000,US
Head of Data,EX,191000,US
Head of Data,EX,170000,US
Head of Data,EX,150000,US
Data Engineer,MI,162000,US
Data Engineer,MI,108000,US
Data Engineer,MI,138000,US
Data Engineer,MI,120000,US
Data Engineer,SE,73684,CY
Data Engineer,SE,73684,CY
Analytics Engineer,MI,250000,US
Analytics Engineer,MI,200000,US
Analytics Engineer,SE,250000,US
Analytics Engineer,SE,161500,US
Data Scientist,SE,257600,US
Data Scientist,SE,146000,US
Data Scientist,MI,101265,GB
Data Scientist,MI,75949,GB
Data Scientist,SE,220000,US
Data Scientist,SE,146000,US
Data Scientist,SE,135000,CA
Data Scientist,SE,108000,CA
Data Scientist,SE,160000,US
Data Scientist,SE,128000,US
Data Scientist,SE,230000,US
Data Scientist,SE,170000,US
Data Scientist,MI,160000,US
Data Scientist,MI,120000,US
Machine Learning Engineer,SE,194500,US
Machine Learning Engineer,SE,194500,US
Machine Learning Engineer,SE,259000,US
Machine Learning Engineer,SE,204000,US
Machine Learning Engineer,SE,225000,US
Machine Learning Engineer,SE,185000,US
Machine Learning Engineer,MI,185000,US
Machine Learning Engineer,MI,150000,US
Machine Learning Engineer,MI,280000,US
Machine Learning Engineer,MI,200000,US
Machine Learning Engineer,MI,166800,US
Machine Learning Engineer,MI,124300,US
Machine Learning Engineer,SE,205000,US
Data Architect,SE,200000,US
Data Architect,SE,115000,US
Machine Learning Engineer,SE,190300,US
Data Engineer,EN,179875,US
Data Engineer,EN,107925,US
Data Engineer,MI,250000,US
Data Engineer,MI,118657,US
Data Engineer,MI,237500,US
Data Engineer,MI,118657,US
Data Engineer,SE,281000,US
Data Engineer,SE,206000,US
Data Engineer,MI,180000,US
Data Engineer,MI,110000,US
Data Engineer,SE,69620,GB
Data Engineer,SE,56962,GB
Data Engineer,SE,65936,LT
Data Engineer,SE,43957,LT
Data Governance,EX,150000,US
Data Governance,EX,130000,US
Machine Learning Engineer,SE,180000,US
Machine Learning Engineer,SE,130000,US
Data Analyst,EN,75805,US
Data Analyst,EN,48906,US
Data Engineer,MI,137629,US
Data Engineer,MI,84370,US
Data Engineer,MI,130000,US
Data Engineer,MI,90000,US
Data Engineer,MI,110160,US
Data Engineer,MI,89600,US
Data Engineer,SE,140000,US
Data Engineer,SE,90732,US
Data Engineer,SE,227000,US
Data Engineer,SE,170000,US
Data Manager,MI,99700,US
Data Manager,MI,60560,US
Data Management Analyst,EN,73000,US
Data Management Analyst,EN,59000,US
Data Scientist,MI,92583,US
Data Scientist,MI,55549,US
Data Scientist,SE,141721,US
Data Scientist,SE,85032,US
Data Scientist,MI,135000,US
Data Scientist,MI,85000,US
Data Scientist,MI,139406,US
Data Scientist,MI,101386,US
